Repository,User,EventType,Comment
tgstation/-tg-station,Steelpoint,IssueCommentEvent,"I'm not so sure on what equipment the Commander should get. Currently this is what he has:

* Intelicard
* Mataba(Autorevolver) + 2 speedloaders
* Stun Baton
* Box of handcuffs
* First Aid Kit
* Flash
* One Adminordrazine Medipen

In addition, I've also revisited the equipment rooms, replaced them with the two tile glass airlocks and removed access restrictions to the ERT equipment rooms. I've also given some extra optional equipment to the Sec and Engi officer (Magboots, more metal, night vision).
"
hybridauth/hybridauth,dtbaker,IssueCommentEvent,"In base_facebook.php I added the v2.0/ suffix to these URLs and the warning went away. I'm not sure what will break, but login seems to work fine now:

```
public static $DOMAIN_MAP = array(
    'api'         => 'https://api.facebook.com/v2.0/',
    'api_video'   => 'https://api-video.facebook.com/',
    'api_read'    => 'https://api-read.facebook.com/',
    'graph'       => 'https://graph.facebook.com/v2.0/',
    'graph_video' => 'https://graph-video.facebook.com/',
    'www'         => 'https://www.facebook.com/v2.0/',
  );"
scalastyle/scalastyle-plugin,matthewfarwell,IssueCommentEvent,"And it's done.

http://www.scalastyle.org/downloads/luna-0.6.1/site/

Could you try this and tell me if it works for you.

Thanks.

Matthew Farwell.

2014-12-30 10:43 GMT+01:00 Matthew Farwell <matthew@farwell.co.uk>:

> Hi,
>
> Yep. I'll do a release asap to fix this problem.
>
> Matthew Farwell.
>
> 2014-12-29 10:07 GMT+01:00 Andreas Ländle <notifications@github.com>:
>
>> Please excuse the late answer - at least I can provide a error message:
>>
>> !ENTRY org.scalastyle.scalastyleplugin.core 4 0 2014-12-29 10:06:45.235
>> !MESSAGE \tmp\file.txt (The system cannot find the path specified)
>> !STACK 0
>> java.io.FileNotFoundException: \tmp\file.txt (The system cannot find the
>> path specified)
>> at java.io.FileOutputStream.open(Native Method)
>> at java.io.FileOutputStream.(Unknown Source)
>> at java.io.FileOutputStream.(Unknown Source)
>> at
>> org.scalastyle.scalastyleplugin.builder.EclipseOutput.(ScalastyleBuilder.scala:200)
>> at
>> org.scalastyle.scalastyleplugin.builder.ScalastyleBuilder$$anonfun$handleBuildSelection$1.apply$mcV$sp(ScalastyleBuilder.scala:155)
>> at
>> org.scalastyle.scalastyleplugin.ExceptionUtils$.handleException(ExceptionUtils.scala:54)
>> at
>> org.scalastyle.scalastyleplugin.builder.ScalastyleBuilder.handleBuildSelection(ScalastyleBuilder.scala:137)
>> at
>> org.scalastyle.scalastyleplugin.builder.ScalastyleBuilder.delegatedBuild(ScalastyleBuilder.scala:120)
>> at
>> org.scalastyle.scalastyleplugin.builder.JavaScalastyleBuilder.build(JavaScalastyleBuilder.java:30)
>> at
>> org.eclipse.core.internal.events.BuildManager$2.run(BuildManager.java:734)
>> at org.eclipse.core.runtime.SafeRunner.run(SafeRunner.java:42)
>> at
>> org.eclipse.core.internal.events.BuildManager.basicBuild(BuildManager.java:206)
>> at
>> org.eclipse.core.internal.events.BuildManager.basicBuild(BuildManager.java:246)
>> at
>> org.eclipse.core.internal.events.BuildManager$1.run(BuildManager.java:299)
>> at org.eclipse.core.runtime.SafeRunner.run(SafeRunner.java:42)
>> at
>> org.eclipse.core.internal.events.BuildManager.basicBuild(BuildManager.java:302)
>> at
>> org.eclipse.core.internal.events.BuildManager.basicBuildLoop(BuildManager.java:358)
>> at
>> org.eclipse.core.internal.events.BuildManager.build(BuildManager.java:381)
>> at
>> org.eclipse.core.internal.events.AutoBuildJob.doBuild(AutoBuildJob.java:143)
>> at
>> org.eclipse.core.internal.events.AutoBuildJob.run(AutoBuildJob.java:241)
>> at org.eclipse.core.internal.jobs.Worker.run(Worker.java:54)
>>
>> —
>> Reply to this email directly or view it on GitHub
>> <https://github.com/scalastyle/scalastyle-plugin/issues/18#issuecomment-68241875>
>> .
>>
>
>"
qbittorrent/qBittorrent,sledgehammer999,IssueCommentEvent,"I tested in a clean VM and I can't reproduce.
Can you help me get a more accurate(probably) backtrace?
Uninstall python 2.7.x so qbt starts crashing again.
Download WinDbg from here: http://www.windbg.org/
Then Open Windbg and do file->open executable...
1. choose qbittorrent.exe
2. Debug->Go
3. Do whatever you usually do to crash qbt. This time qbt will freeze instead upon crashing and you'll observe some output in the ""Command"" subwindow of ""WinDbg"".
4. Now you should be able to input commands in the bottom of that subwindow.
5. Enter `.load wow64exts` and then `!analyze -v`

Then copy the output here."
formly-js/angular-formly,kentcdodds,IssueCommentEvent,"Closing this issue for now. If you want to take a whack at it, that'd be awesome. Just trying to clean things up a bit."
matthewprenger/HelpFixer,The-1-7-10-Pack,IssueCommentEvent,"FYI, with the new updates your power is stronger.
![image](https://cloud.githubusercontent.com/assets/10350644/5591976/1c223ba6-91ae-11e4-87e4-808f5776ebce.png)
100% success with all the /help pages, and with all the mods.

"
rubensworks/EvilCraft,rubensworks,IssueCommentEvent,Great! Just let me know once it's finished.
troessner/reek,troessner,IssueCommentEvent,"Thanks @gilles-leblanc !
I'd like to revise my suggestion from above: lets go with 2-release after we revamped our rake task since we dont know when the unparser issue will be solved."
gitpython-developers/GitPython,Byron,IssueCommentEvent,"I may have an idea what's causing this, and will try to look into it today. Using the gitfs-test repository, I should be able to reproduce the issue right away.

Will let you know about details once I have them."
phoenixframework/phoenix,josevalim,PullRequestReviewCommentEvent,I don't like this because it hides they are just plugs. :( Maybe a convenience we could add in the future but I think it is an important message to get across. 
imanuelcostigan/FinancialMarkets.jl,imanuelcostigan,IssueCommentEvent,Significant work 27c0501
ros/rosdistro,vrabaud,IssueCommentEvent,"hey guys, could we finally set tf to deprecated in Indigo and remove it from jade ?"
kangarko/ChatControl,Slind14,IssueCommentEvent,"alright.

I don't use NCP as it doesn't work properly with modded minecraft, unless you nearly disable everything."
netz98/n98-magerun2,cmuench,IssueCommentEvent,Working
formly-js/angular-formly,kentcdodds,IssueCommentEvent,"@gizmoboy, sorry this was never implemented. Do you still need this functionality?"
StackExchange/StackExchange.Redis,mgravell,IssueCommentEvent,"Are you aware that there is a mechanism for obtaining a database connection
with an automatic inbuilt key prefix? It then does the entire thing without
combines. Would that be useful? Or is this related but complimentary?
On 1 Jan 2015 02:03, ""kevin-montrose"" <notifications@github.com> wrote:

> We've got some code that routinely concats an arbitrary string to a fixed
> prefix. It'd be nice to not have to allocate a whole new string (or byte[],
> or whatever) when we're just gonna turn this into a RedisKey and be done
> with it.
>
> This commit exposes the already existing WithPrefix
> <https://github.com/StackExchange/StackExchange.Redis/blob/d994b7ad57a76586487cd2d460d55cb850498448/StackExchange.Redis/StackExchange/Redis/RedisKey.cs#L253>
> method on RedisKey in separate Prepend and Append wrapper methods.
> ------------------------------
> You can merge this Pull Request by running
>
>   git pull https://github.com/kevin-montrose/StackExchange.Redis prepend-append
>
> Or view, comment on, or merge it at:
>
>   https://github.com/StackExchange/StackExchange.Redis/pull/142
> Commit Summary
>
>    - expose Prepend and Append methods on RedisKey, so we can avoid some
>    string concats in common cases
>
> File Changes
>
>    - *M* StackExchange.Redis.Tests/Keys.cs
>    <https://github.com/StackExchange/StackExchange.Redis/pull/142/files#diff-0>
>    (35)
>    - *M* StackExchange.Redis/StackExchange/Redis/RedisKey.cs
>    <https://github.com/StackExchange/StackExchange.Redis/pull/142/files#diff-1>
>    (22)
>
> Patch Links:
>
>    - https://github.com/StackExchange/StackExchange.Redis/pull/142.patch
>    - https://github.com/StackExchange/StackExchange.Redis/pull/142.diff
>
> —
> Reply to this email directly or view it on GitHub
> <https://github.com/StackExchange/StackExchange.Redis/pull/142>.
>"
padrino/padrino-framework,namusyaka,IssueCommentEvent,"`shoulda-matchers` has been maintained actively, but `shoulda-context` seems to be stopped maintaining.
I'm not sure if we should support the shoulda as our component.
If we continue to support shoulda, we should fix a few points.

* Standard attached test-unit has different behavior depending on the version of ruby
* I'd like to suggest to use the [test-unit](https://github.com/test-unit/test-unit). Also this gem should be inserted before `gem 'shoulda'`

About outdated components, I've just opened [the issue](https://github.com/padrino/padrino-framework/issues/1851)."
TechnicPack/TechnicLauncher,CannibalVox,IssueCommentEvent,Nobody can use cracked technic.  Everybody can use regular technic from technicpack.net/
nvkzNemo/UberSplash,MyTheValentinus,IssueCommentEvent,"Dont have good folder: http://www.eponacraft.eu/screen/2015-01-01_11.03.40.png
"
BVLC/caffe,hughperkins,IssueCommentEvent,"Reading through this thread, and 408, is it not entirely unreasonable to assume the migrating caffe to work with OpenCL would be both considerable amount of work, potentially conflict with several CUDA optimizations, and generally go 'against the flow' of what other Caffe contributors are looking to achieve?  I think this is the case, and that's why I'm rather writing an OpenCL convolutional network library 'from the ground up', at https://github.com/hughperkins/ClConvolve , but just touching base, in case my current approach is a bit too 'not invented here'?"
Unity3D-Wine-Support/Unity3D-on-Wine,thediamondgames,IssueCommentEvent,"I solved the issue by installing 1.7.33-WGL-ShareList in PlayOnLinux. If you are not using POL, here's link to download the compiled x86 1.7.33-WGL-ShareList wine: http://www.playonlinux.com/wine/binaries/linux-x86/PlayOnLinux-wine-1.7.33-WGL-ShareList-linux-x86.pol"
jcabi/jcabi-aether,yegor256,IssueCommentEvent,"@alevohin No, it's not. Every time you see an issue, create a new ticket"
domnikl/DesignPatternsPHP,eddiejaoude,IssueCommentEvent,"> Google is pretty good at searching RST documentation by the way as well.

I wasn't being lazy, I did have a look, but with or without the `rst` extension it didn't work (only with `html` extension). 

I looked at the following docs:
http://sphinx-doc.org/rest.html#hyperlinks
http://sphinx-doc.org/markup/inline.html#ref-role

I will research more, sorry to trouble you :smile: "
StackExchange/StackExchange.Redis,mgravell,IssueCommentEvent,"I should note: the prefix is on the IDatabase, not the multiplexer - so you
can have multiple different prefixes (or none) on the same underlying
connection.
On 1 Jan 2015 02:03, ""kevin-montrose"" <notifications@github.com> wrote:

> We've got some code that routinely concats an arbitrary string to a fixed
> prefix. It'd be nice to not have to allocate a whole new string (or byte[],
> or whatever) when we're just gonna turn this into a RedisKey and be done
> with it.
>
> This commit exposes the already existing WithPrefix
> <https://github.com/StackExchange/StackExchange.Redis/blob/d994b7ad57a76586487cd2d460d55cb850498448/StackExchange.Redis/StackExchange/Redis/RedisKey.cs#L253>
> method on RedisKey in separate Prepend and Append wrapper methods.
> ------------------------------
> You can merge this Pull Request by running
>
>   git pull https://github.com/kevin-montrose/StackExchange.Redis prepend-append
>
> Or view, comment on, or merge it at:
>
>   https://github.com/StackExchange/StackExchange.Redis/pull/142
> Commit Summary
>
>    - expose Prepend and Append methods on RedisKey, so we can avoid some
>    string concats in common cases
>
> File Changes
>
>    - *M* StackExchange.Redis.Tests/Keys.cs
>    <https://github.com/StackExchange/StackExchange.Redis/pull/142/files#diff-0>
>    (35)
>    - *M* StackExchange.Redis/StackExchange/Redis/RedisKey.cs
>    <https://github.com/StackExchange/StackExchange.Redis/pull/142/files#diff-1>
>    (22)
>
> Patch Links:
>
>    - https://github.com/StackExchange/StackExchange.Redis/pull/142.patch
>    - https://github.com/StackExchange/StackExchange.Redis/pull/142.diff
>
> —
> Reply to this email directly or view it on GitHub
> <https://github.com/StackExchange/StackExchange.Redis/pull/142>.
>"
phoenixframework/phoenix,josevalim,PullRequestReviewCommentEvent,"`raise ArgumentError, ""...""` ?"
caskroom/homebrew-cask,rolandwalker,IssueCommentEvent,Thanks!
D-Programming-Language/phobos,WalterBright,PullRequestReviewCommentEvent,"Please call it something else. It has nothing in common with C++ iterators. The documentation on opApply never calls them iterators, it calls them `apply` functions.

http://dlang.org/statement.html#foreach-with-ranges"
apache/couchdb,rnewson,IssueCommentEvent,+1
zz85/mrdoobapproves,zz85,IssueCommentEvent,Merging since mrdoob approves :) Always feel free to suggest if there's a better flow otherwise...
phoenixframework/phoenix,josevalim,PullRequestReviewCommentEvent,`put_current_topic` to keep Elixir terminology?
kangarko/ChatControl,kangarko,IssueCommentEvent,"I heard about NoCheatPlus-Compat but unsure what kind of mods are you using. I am planning to add more features to the plugin, but I will not have much time in the beginning of the year so it might come later."
D-Programming-Language/phobos,WalterBright,PullRequestReviewCommentEvent,I think homogenizing them should be the best approach.
ipython/ipython-website,Carreau,IssueCommentEvent,Yes it works with current sphinx. Extension return value were not used. 
square/okhttp,JakeWharton,PullRequestReviewCommentEvent,Going to leave this logic as-is because I like it better anyway.
formly-js/angular-formly,kentcdodds,IssueCommentEvent,"There's the beginnings of a form schema specification [here](https://github.com/formly-js/angular-formly/wiki/JSON-Specification). It's a little difficult to generalize things because different formly components can require such different things, but I think most of the common stuff is there."
brianc/node-postgres,Protosac,IssueCommentEvent,"I'm having the same error. It happened while configuring passport-github authentication. I tried the code at pull request #468 but the same error occurs. In the browser console I'm getting a `ERR CONNECTION REFUSED` error, but I can't tell where this is coming from.

![screenshot from 2015-01-01 02 06 50](https://cloud.githubusercontent.com/assets/6880594/5591984/e9fafa44-915a-11e4-85b5-b3cd6c2996f1.png)
"
nodemcu/nodemcu-firmware,xlfe,IssueCommentEvent,"Okay - I've got it working and I've put my code into a repo incase anyone else wants to do the same:
https://github.com/xlfe/spiffy

Thanks for your assistance
Cheers
"
imanuelcostigan/FinancialMarkets.jl,imanuelcostigan,IssueCommentEvent,Seems to be a regression in the build associated with Julia commit b24213b (v0.3.3) which has been fixed in Julia 3392026 (v0.3.4)
bjd54321/Ex03,Aleosha,IssueCommentEvent,"Fixed

01.01.2015, 10:35, ""bjd54321"" <notifications@github.com>:
> —
> Reply to this email directly or view it on GitHub."
federicoiosue/Omni-Notes,federicoiosue,IssueCommentEvent,"Yes, it would! But not being an ownCloud user I think I'll not develop it personally. 

I'll e glad to evaluate pull requests anyhow! "
driftyco/ionic,rajatrocks,IssueCommentEvent,"@mica16 - can you please describe a bit more about how you're effectively cleaning up your modals? I use them extensively in my app, and am also having memory issues. Thanks!
"
shama/gaze,colinmegill,IssueCommentEvent,"Fixed it: 

```
gulp.task(""watchAndReload"", function() {
    livereload.listen()
    saneWatch(""./src/**/*.html"", function() {
        gulp.start(""html"");
    }); 
    saneWatch(""./src/**/*.scss"", function() {
        gulp.start(""css"");
    }); 
    saneWatch([""./src/**/*.js"",""./src/**/*.jsx""], function() {
        gulp.start(""js"");
    }); 
});
```

While I didn't think **/* would matter, it did :)"
antonlarin/aNiMated-batman,RuslanIsrafilov,IssueCommentEvent,">В общем, мой вывод такой: если рабочий поток не усыплять, он заваливает event loop GUI потока событиями окончания итерации. Если усыплять рабочий поток, то GUI успевает все события обрабатывать.

Да, похоже на то. И всё-таки оставим версию с QThread. Ты последнее решение реализовывал?"
emberjs/ember-rails,tricknotes,IssueCommentEvent,"I just released [ember-rails@0.16.1](https://rubygems.org/gems/ember-rails/versions/0.16.1) including your commits.
Thanks for your contribution @ashrafmajdee "
nvkzNemo/UberSplash,nvkzNemo,IssueCommentEvent,"If the folder does not exist, then it should be created. 
.../Adobe/CEP/extensions/"
sass/libsass,xzyfer,IssueCommentEvent,"@QuLogic 

> It's simpler and 'DRY'er to have only one commit for a bugfix. Since the stable branch has only bugfixes, it should be a pretty simple merge in general. 

I completely agree. My concern is the need to merge `stable` -> `master` and `master` -> `stable`. Generally speaking it's cleaner, and less error prone to merge in one direction.

@am11 I don't know that nightlies make a sense, but I'm happy to be convinced otherwise. AFAIK master should always be a passing build so it would essentially be the nightly branch."
memcached/memcached,saaros,IssueCommentEvent,"libmemcached should handle this fine, it just looks at bodylen and doesn't care about extlen. I'm not sure which other clients implement the binary protocol."
GarageGames/Torque3D-ProjectManager,eightyeight,IssueCommentEvent,Wrong branch :joy:
formly-js/angular-formly,kentcdodds,IssueCommentEvent,"Going to close this for now, please re-open if it has not been resolved."
CPAN-API/metacpan-client,mickeyn,IssueCommentEvent,Let's stick to Github. closing this for now.
deis/deis,carmstrong,IssueCommentEvent,Failed again in exactly the same spot. Did this PR modify anything that would affect that?
ipython/ipython-website,Carreau,IssueCommentEvent,"+1, yes it's a copy past."
groovy/groovy-core,PascalSchumacher,IssueCommentEvent,Thanks!
HabitRPG/habitrpg-shared,Alys,IssueCommentEvent,It's looking pretty good so far! I'll finish testing in a day or two. Thank you!
nrosvall/memo,nrosvall,IssueCommentEvent,"Ok, Memo 1.5 is out and this issue is fixed."
AlderArts/foe,kspriv,IssueCommentEvent,"I looked at it a bit and this looks easy enough to do. A couple minor questions for you and I'll do it in the morning:
-Should I always label enemies, or only label them when there's duplicates?

-Should I make it unique across all enemies, or unique across duplicates. (e.i. If there's two Human(M) and two Human(F). Should I label it Human(M) 1, Human(M) 2, Human(F) 1, Human(F) 2....OR Human(M) 1, Human(M) 2, Human(F) 3, Human(F) 4?)."
matthewprenger/HelpFixer,xJon,IssueCommentEvent,"FYI, with the new updates your power is stronger.
![image](https://cloud.githubusercontent.com/assets/10350644/5591976/1c223ba6-91ae-11e4-87e4-808f5776ebce.png)
100% success with all the /help pages, and with all the mods."
meteor-velocity/velocity,hasanmehmood,IssueCommentEvent,"Started proxy.                             
=> Started MongoDB.                           
=> Started your app.                          

=> App running at: http://localhost:3000/
I20150101-15:07:22.397(5)? Exception in callback of async function: Error: Did not check() all arguments during internal call to 'velocity/reports/completed'
I20150101-15:07:22.459(5)?   at [object Object]._.extend.throwUnlessAllArgumentsHaveBeenChecked (/home/hassan/ubiome_app/.meteor/local/build/programs/server/packages/check.js:375:13)
I20150101-15:07:22.459(5)?   at Object.Match._failIfArgumentsAreNotAllChecked (/home/hassan/ubiome_app/.meteor/local/build/programs/server/packages/check.js:130:16)
I20150101-15:07:22.459(5)?   at maybeAuditArgumentChecks (/home/hassan/ubiome_app/.meteor/local/build/programs/server/packages/ddp.js:2442:18)
I20150101-15:07:22.459(5)?   at /home/hassan/ubiome_app/.meteor/local/build/programs/server/packages/ddp.js:2359:18
I20150101-15:07:22.459(5)?   at [object Object]._.extend.withValue (/home/hassan/ubiome_app/.meteor/local/build/programs/server/packages/meteor.js:1000:17)
I20150101-15:07:22.460(5)?   at [object Object]._.extend.apply (/home/hassan/ubiome_app/.meteor/local/build/programs/server/packages/ddp.js:2358:45)
I20150101-15:07:22.460(5)?   at [object Object]._.extend.call (/home/hassan/ubiome_app/.meteor/local/build/programs/server/packages/ddp.js:2301:17)
I20150101-15:07:22.460(5)?   at [object Object]._.extend.lazyStartMirror (/home/hassan/ubiome_app/.meteor/local/build/programs/server/packages/sanjo_jasmine.js:105:14)
I20150101-15:07:22.460(5)?   at [object Object]._.extend.startMirror (/home/hassan/ubiome_app/.meteor/local/build/programs/server/packages/sanjo_jasmine.js:578:19)
I20150101-15:07:22.460(5)?   at Package (/home/hassan/ubiome_app/.meteor/local/build/programs/server/packages/sanjo_jasmine.js:2201:38)
I20150101-15:07:22.460(5)?   at _triggerVelocityStartupFunctions (/home/hassan/ubiome_app/.meteor/local/build/programs/server/packages/velocity_core.js:624:7)
I20150101-15:07:22.460(5)?   at /home/hassan/ubiome_app/.meteor/local/build/programs/server/packages/velocity_core.js:719:9
I20150101-15:07:22.460(5)?   at runWithEnvironment (/home/hassan/ubiome_app/.meteor/local/build/programs/server/packages/meteor.js:1052:24)
I20150101-15:07:22.461(5)? 

Output: meteor list,
accounts-password            1.0.5  Password support for accounts
alanning:roles               1.2.13  Role-based authorization
aldeed:collection2           2.3.0  Automatic validation of insert and update...
audit-argument-checks        1.0.2  Try to detect inadequate input sanitization
browser-policy               1.0.3  Configure security policies enforced by t...
dburles:collection-helpers   1.0.2  Transform your collections with helpers t...
fastclick                    1.0.2  Faster touch events on mobile
ian:accounts-ui-bootstrap-3  1.2.7  Bootstrap-styled accounts-ui with multi-l...
ian:bootstrap-3              3.3.1  HTML, CSS, and JS framework for developin...
iron:router                  1.0.6  Routing specifically designed for Meteor
jquery                       1.0.2  Manipulate the DOM using CSS selectors
less                         1.0.12  The dynamic stylesheet language
manuelschoebel:ms-seo        0.4.1  Easily config SEO for your routes
matteodem:easy-security      0.1.2  Protection against harmful attacks by rat...
meteorhacks:fast-render      2.1.6  Render you app even before the DDP connec...
natestrauser:animate-css     3.1.2  Animate.css packaged for meteor
nooitaf:semantic-ui-less     0.19.3  Semantic UI packaged for Meteor using less
raix:handlebar-helpers       0.2.4  Handlebar helpers
sacha:spin                   2.0.4  Simple spinner package for Meteor
sanjo:jasmine                0.9.1  Easily use Jasmine in Meteor
standard-app-packages        1.0.4  Moved to meteor-platform
tap:i18n                     1.2.1  A comprehensive internationalization solu...
underscore                   1.0.2  Collection of small helpers: _.map, _.eac...
useraccounts:semantic-ui     1.4.1  Accounts Templates styled for Semantic UI.
velocity:html-reporter       0.3.2  Reactive Velocity test reports in your app.
zimme:iron-router-active     1.0.1  Active route/path template helpers for ir...

After installing velocity packages, i am getting this error! Any Solutions ? 

"
rust-lang/rfcs,viesturz,PullRequestReviewCommentEvent,"Is there a reason you want to go with this specific evaluation order? A Google search did not produce any documentation on this.

Your workaround would work for simple cases. It will break apart unpredictably at more complex cases. Such unpredictably would really frustrate the users.
What about debug mode with optimizations disabled? Would it still reorder stuff?
 
What to do if you need a mutable borrow to evaluate parameters:

    obj.paint(obj.x, obj.y, obj.getCachedOrDownloadImage())

Or a mutable borrow to get to the function to call:

    obj.getSomethingMutablyBorrowsObj().someFunction(obj.name)  

To generalize self is just another parameter. If more than one parameter needs to borrow ob after a mutable borrow is done, there is no way out.

We can either define an order that would work for most cases or leave it undefined and let compiler to figure out if there is a evaluation order that complies with borrow restrictions.

It's much more likely that self will need a mutable borrow of obj than the other parameters. 
Thus I'm for evaluating self last to allow more code to work."
sebastianbergmann/comparator,henriquemoody,IssueCommentEvent,Travis is ok.
xbmc/xbmc,fritsch,IssueCommentEvent,Acked by @FernetMenta 
iabarca/lawena-recording-tool,Dubbled,IssueCommentEvent,I believe ```mat_postprocess_enable 0```` should be added as well.
rwtema/FunkyLocomotion,rwtema,IssueCommentEvent,Sorry it took a while
pimatic/pimatic,sweetpi,IssueCommentEvent,"Assuming you are using the pimatic-dhtxx plugin: The node-dht-sensors module (used by the pimatic plugin) uses nearly the same code to read the sensor like the Adafruit lib:

node-dht-sensors: https://github.com/momenso/node-dht-sensor/blob/master/node-dht-sensor.cpp
Adafruit: https://github.com/adafruit/Adafruit-Raspberry-Pi-Python-Code/blob/master/Adafruit_DHT_Driver/Adafruit_DHT.c

The functions for timings used by the two seems to be different. You would have to try to adjust the node-dht-sensors code, so that uses the same timing functions like the Adafruit version or ask the module author @momenso to adjust the code accordingly."
MightyPirates/OpenComputers,Kubuxu,IssueCommentEvent,@morlanius As one of co-authors of OpenGlasses I must say we never thought about feature like that. OpenGlasses were always in game GUI and nano tablets would be cool addition to the feature set. 
lmccart/p5.js,GoToLoop,IssueCommentEvent,It's just a safe-guard against negative value arguments! **Math.abs()** was added to **ellipse()** so it accepts negative dimensions!  o_0
pmt-it/Send-API,pmt-it,IssueCommentEvent,Not an issue anymore
magnars/multiple-cursors.el,magnars,IssueCommentEvent,It could also be that you're using the master branch of Emacs. I long ago abandoned the idea of supporting the dev branch of Emacs - way too many regressions that would be fixed by time of release. 
rwtema/FunkyLocomotion,rwtema,IssueCommentEvent,Sorry it took a while
ciubotaru/share-on-diaspora,ciubotaru,IssueCommentEvent,"Fixed in https://github.com/ciubotaru/share-on-diaspora/commit/bb2634f56b411a9cdfd0766b5881294d13d29c3e (.php and .pot file) and https://github.com/ciubotaru/share-on-diaspora/commit/8c9f6c53120f9cb0f1c94ae9e5d1e6b42287ea84 (.mo files). Closing.

Thank you for the report!"
Nikku/karma-browserify,Nikku,IssueCommentEvent,"Cannot merge yet, watchify still requires browserify ^7.0.0."
afiune/test-kitchen,jhosm,IssueCommentEvent,"I'm running on 2008R2 and 2012R2. 

I don't have the serverspec file with me right now, but it's pretty vanilla. The issue is really the size of the serverspec files that get transfered, which has a very low limit. I can't remember exactly right now, but I do believe that the issue is the sum of all the serverspec files sizes. So even if you have really small files but a sufficient number of them, the issue also crops up."
webuildsg/webuild,sayanee,IssueCommentEvent,"more design inspiration [from dribble](https://dribbble.com/shots/1124170-Line-Graph)

![image](https://cloud.githubusercontent.com/assets/413879/5591986/4367da8a-91e1-11e4-9daa-5f39c185c60b.png)

or [another one](https://dribbble.com/shots/1088239-Spark-graphs)

![image](https://cloud.githubusercontent.com/assets/413879/5591990/76dd3536-91e1-11e4-8875-e7462301316f.png)
"
rwtema/FunkyLocomotion,rwtema,IssueCommentEvent,Ta
Baystation12/Baystation12,Zuhayr,IssueCommentEvent,Holy mother of completely unnecessary documentation. Three lines per proc for stuff like ui_interact() and attack_hand()? The comment should not be longer than the proc.
sass/libsass,xzyfer,IssueCommentEvent,Sorry I should have been clearer. The significance of sass-compatibility is that it specifically targets inconsistencies between implementations. An increase of 20% means that of all the difference between out implementations there are now 20% less. It's by no means an indication of overall feature coverage.
voodootikigod/node-serialport,adzymaniac,IssueCommentEvent,"I try to recompile nodejs, but nothing change."
